
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (152) 152 / 250 excecuted, epsilon 0.8235897435897475, random actions 1, random actions on zero 0, max actions 1
 - Run (153) 153 / 250 excecuted, epsilon 0.8276923076923116, random actions 0, random actions on zero 0, max actions 2
 - Run (154) 154 / 250 excecuted, epsilon 0.8317948717948758, random actions 0, random actions on zero 0, max actions 1
 - Run (155) 155 / 250 excecuted, epsilon 0.8358974358974399, random actions 0, random actions on zero 0, max actions 1
 - Run (156) 156 / 250 excecuted, epsilon 0.8400000000000041, random actions 0, random actions on zero 0, max actions 1
 - Run (157) 157 / 250 excecuted, epsilon 0.8441025641025682, random actions 1, random actions on zero 0, max actions 1
 - Run (158) 158 / 250 excecuted, epsilon 0.8482051282051324, random actions 1, random actions on zero 0, max actions 1
 - Run (159) 159 / 250 excecuted, epsilon 0.8523076923076965, random actions 0, random actions on zero 0, max actions 1
 - Run (160) 160 / 250 excecuted, epsilon 0.8564102564102607, random actions 0, random actions on zero 0, max actions 1
 - Run (161) 161 / 250 excecuted, epsilon 0.8605128205128248, random actions 0, random actions on zero 0, max actions 2
 - Run (162) 162 / 250 excecuted, epsilon 0.864615384615389, random actions 1, random actions on zero 0, max actions 1
 - Run (163) 163 / 250 excecuted, epsilon 0.8687179487179532, random actions 1, random actions on zero 0, max actions 1
 - Run (164) 164 / 250 excecuted, epsilon 0.8728205128205173, random actions 0, random actions on zero 0, max actions 2
 - Run (165) 165 / 250 excecuted, epsilon 0.8769230769230815, random actions 0, random actions on zero 0, max actions 2
 - Run (166) 166 / 250 excecuted, epsilon 0.8810256410256456, random actions 2, random actions on zero 0, max actions 0
 - Run (167) 167 / 250 excecuted, epsilon 0.8851282051282098, random actions 2, random actions on zero 0, max actions 0
 - Run (168) 168 / 250 excecuted, epsilon 0.8892307692307739, random actions 0, random actions on zero 0, max actions 2
 - Run (169) 169 / 250 excecuted, epsilon 0.8933333333333381, random actions 0, random actions on zero 0, max actions 2
 - Run (170) 170 / 250 excecuted, epsilon 0.8974358974359022, random actions 0, random actions on zero 0, max actions 2
 - Run (171) 171 / 250 excecuted, epsilon 0.9015384615384664, random actions 0, random actions on zero 0, max actions 2
 - Run (172) 172 / 250 excecuted, epsilon 0.9056410256410306, random actions 0, random actions on zero 0, max actions 2
 - Run (173) 173 / 250 excecuted, epsilon 0.9097435897435947, random actions 0, random actions on zero 0, max actions 2
 - Run (174) 174 / 250 excecuted, epsilon 0.9138461538461589, random actions 0, random actions on zero 0, max actions 2
 - Run (175) 175 / 250 excecuted, epsilon 0.917948717948723, random actions 0, random actions on zero 0, max actions 2
 - Run (176) 176 / 250 excecuted, epsilon 0.9220512820512872, random actions 1, random actions on zero 0, max actions 1
 - Run (177) 177 / 250 excecuted, epsilon 0.9261538461538513, random actions 0, random actions on zero 0, max actions 2
 - Run (178) 178 / 250 excecuted, epsilon 0.9302564102564155, random actions 0, random actions on zero 0, max actions 2
 - Run (179) 179 / 250 excecuted, epsilon 0.9343589743589796, random actions 1, random actions on zero 0, max actions 1
 - Run (180) 180 / 250 excecuted, epsilon 0.9384615384615438, random actions 0, random actions on zero 0, max actions 2
 - Run (181) 181 / 250 excecuted, epsilon 0.9425641025641079, random actions 0, random actions on zero 0, max actions 2
 - Run (182) 182 / 250 excecuted, epsilon 0.9466666666666721, random actions 0, random actions on zero 0, max actions 1
 - Run (183) 183 / 250 excecuted, epsilon 0.9507692307692363, random actions 0, random actions on zero 0, max actions 2
 - Run (184) 184 / 250 excecuted, epsilon 0.9548717948718004, random actions 0, random actions on zero 0, max actions 2
 - Run (185) 185 / 250 excecuted, epsilon 0.9589743589743646, random actions 0, random actions on zero 0, max actions 2
 - Run (186) 186 / 250 excecuted, epsilon 0.9630769230769287, random actions 0, random actions on zero 0, max actions 2
 - Run (187) 187 / 250 excecuted, epsilon 0.9671794871794929, random actions 0, random actions on zero 0, max actions 2
 - Run (188) 188 / 250 excecuted, epsilon 0.971282051282057, random actions 0, random actions on zero 0, max actions 2
 - Run (189) 189 / 250 excecuted, epsilon 0.9753846153846212, random actions 0, random actions on zero 0, max actions 2
 - Run (190) 190 / 250 excecuted, epsilon 0.9794871794871853, random actions 0, random actions on zero 0, max actions 2
 - Run (191) 191 / 250 excecuted, epsilon 0.9835897435897495, random actions 0, random actions on zero 0, max actions 2
 - Run (192) 192 / 250 excecuted, epsilon 0.9876923076923136, random actions 1, random actions on zero 0, max actions 1
 - Run (193) 193 / 250 excecuted, epsilon 0.9917948717948778, random actions 0, random actions on zero 0, max actions 2
 - Run (194) 194 / 250 excecuted, epsilon 0.995897435897442, random actions 0, random actions on zero 0, max actions 2
 - Run (195) 195 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (196) 196 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (197) 197 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (198) 198 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (199) 199 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (200) 200 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (201) 201 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (202) 202 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (203) 203 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (204) 204 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (205) 205 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (206) 206 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (207) 207 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 3
 - Run (208) 208 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (209) 209 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (210) 210 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (211) 211 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 4
 - Run (212) 212 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (213) 213 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (214) 214 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (215) 215 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (216) 216 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (217) 217 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (218) 218 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 1, max actions 4
 - Run (219) 219 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (220) 220 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (221) 221 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (222) 222 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (223) 223 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (224) 224 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 3
 - Run (225) 225 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (226) 226 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 3
 - Run (227) 227 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (228) 228 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (229) 229 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (230) 230 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (231) 231 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 1, max actions 2
 - Run (232) 232 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (233) 233 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 3
 - Run (234) 234 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (235) 235 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (236) 236 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (237) 237 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (238) 238 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (239) 239 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (240) 240 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 3
 - Run (241) 241 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (242) 242 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (243) 243 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (244) 244 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (245) 245 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (246) 246 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
 - Run (247) 247 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 3
 - Run (248) 248 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (249) 249 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 3
 - Run (250) 250 / 250 excecuted, epsilon 1.000000000000006, random actions 0, random actions on zero 0, max actions 1
