
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (161) 161 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (162) 162 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (163) 163 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (164) 164 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (165) 165 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (166) 166 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (167) 167 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (168) 168 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (169) 169 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (170) 170 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (171) 171 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (172) 172 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (173) 173 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (174) 174 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (175) 175 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (176) 176 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 1, max actions 3
 - Run (177) 177 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (178) 178 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (179) 179 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (180) 180 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (181) 181 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (182) 182 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (183) 183 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (184) 184 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (185) 185 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (186) 186 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (187) 187 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
