,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
905,79294420,6,905,200,2000,2000,0.14,0.14,8,8,0.61,0.3,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
906,45689803,6,906,200,2000,2000,0.05,0.18,9,9,0.88,0.64,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
907,77392055,6,907,200,2000,2000,0.79,0.45,4,10,0.32,0.82,50,1591.8,0.0,0.0,26.628931634596235,0.0,0.0,17,0.23019489493724443,0,0.0
908,27763009,6,908,200,2000,2000,0.51,0.96,8,6,0.64,0.88,50,820.07,0.0,0.0,12.011040754239408,0.0,0.0,3,0.6528152200358921,0,0.0
909,44665783,6,909,200,2000,2000,0.12,0.71,3,9,0.3,0.35,50,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
910,12381034,6,910,200,2000,2000,0.83,0.96,4,9,0.82,0.83,50,1632.24,0.0,0.0,15.978185128480645,0.0,0.0,28,0.16644211726955954,0,0.0
911,36929156,6,911,200,2000,2000,0.31,0.19,2,7,0.24,0.34,50,346.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
912,68235936,6,912,200,2000,2000,0.19,0.65,9,2,0.43,0.08,50,14.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
913,56176470,6,913,200,2000,2000,0.31,0.84,2,1,0.73,0.69,50,30.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
914,46603896,6,914,200,2000,2000,0.42,0.88,9,2,0.19,0.23,50,839.77,0.0,0.0,0.6301587101675258,0.0,0.0,2,0.7880684966003535,0,0.0
915,96830960,6,915,200,2000,2000,0.22,0.16,8,8,0.31,0.63,50,82.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
916,54032351,6,916,200,2000,2000,0.72,0.78,2,8,0.83,0.52,50,1355.36,0.0,0.0,18.828446563644064,0.0,0.0,41,0.1221257937707893,0,0.0
