
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (112) 112 / 200 excecuted, epsilon 0.9167999999999981, random actions 0, random actions on zero 0, max actions 2
 - Run (113) 113 / 200 excecuted, epsilon 0.923199999999998, random actions 0, random actions on zero 0, max actions 2
 - Run (114) 114 / 200 excecuted, epsilon 0.929599999999998, random actions 0, random actions on zero 0, max actions 2
 - Run (115) 115 / 200 excecuted, epsilon 0.935999999999998, random actions 0, random actions on zero 0, max actions 2
 - Run (116) 116 / 200 excecuted, epsilon 0.9423999999999979, random actions 0, random actions on zero 0, max actions 2
 - Run (117) 117 / 200 excecuted, epsilon 0.9487999999999979, random actions 1, random actions on zero 0, max actions 1
 - Run (118) 118 / 200 excecuted, epsilon 0.9551999999999978, random actions 0, random actions on zero 0, max actions 2
 - Run (119) 119 / 200 excecuted, epsilon 0.9615999999999978, random actions 0, random actions on zero 0, max actions 2
 - Run (120) 120 / 200 excecuted, epsilon 0.9679999999999978, random actions 0, random actions on zero 1, max actions 1
 - Run (121) 121 / 200 excecuted, epsilon 0.9743999999999977, random actions 0, random actions on zero 0, max actions 2
 - Run (122) 122 / 200 excecuted, epsilon 0.9807999999999977, random actions 0, random actions on zero 0, max actions 2
 - Run (123) 123 / 200 excecuted, epsilon 0.9871999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (124) 124 / 200 excecuted, epsilon 0.9935999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (125) 125 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (126) 126 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (127) 127 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 1, max actions 2
 - Run (128) 128 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (129) 129 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (130) 130 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 1, max actions 1
 - Run (131) 131 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (132) 132 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (133) 133 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 1, max actions 2
 - Run (134) 134 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (135) 135 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (136) 136 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (137) 137 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (138) 138 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (139) 139 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (140) 140 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (141) 141 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (142) 142 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (143) 143 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (144) 144 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (145) 145 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (146) 146 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (147) 147 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (148) 148 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (149) 149 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (150) 150 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (151) 151 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (152) 152 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (153) 153 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (154) 154 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (155) 155 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (156) 156 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
